DHB,Dose1,Population,Date
Northland,3792,19480,2022-02-02
Waitemata,29285,61881,2022-02-02
Auckland,21113,40861,2022-02-02
Counties Manukau,25002,65365,2022-02-02
Waikato,14268,43635,2022-02-02
Lakes,3299,11998,2022-02-02
Bay of Plenty,7250,25345,2022-02-02
Tairawhiti,1537,5647,2022-02-02
Taranaki,4245,12748,2022-02-02
Hawkes Bay,5179,17749,2022-02-02
MidCentral,5880,17720,2022-02-02
Whanganui,1611,6588,2022-02-02
Capital and Coast,14291,27051,2022-02-02
Hutt Valley,7138,14890,2022-02-02
Wairarapa,1259,4294,2022-02-02
Nelson Marlborough,5651,13612,2022-02-02
West Coast,704,2733,2022-02-02
Canterbury,19621,49808,2022-02-02
South Canterbury,1964,5298,2022-02-02
Southern,10555,28939,2022-02-02
Overseas / Unknown,62,652,2022-02-02
Total,183706,476294,2022-02-02
