DHB,Dose1,Population,Date
Northland,4514,19480,2022-02-09
Waitemata,31952,61881,2022-02-09
Auckland,22978,40861,2022-02-09
Counties Manukau,28495,65365,2022-02-09
Waikato,15978,43635,2022-02-09
Lakes,3664,11998,2022-02-09
Bay of Plenty,8044,25345,2022-02-09
Tairawhiti,1811,5647,2022-02-09
Taranaki,4595,12748,2022-02-09
Hawkes Bay,5918,17749,2022-02-09
MidCentral,6689,17720,2022-02-09
Whanganui,1836,6588,2022-02-09
Capital and Coast,15430,27051,2022-02-09
Hutt Valley,7685,14890,2022-02-09
Wairarapa,1557,4294,2022-02-09
Nelson Marlborough,6062,13612,2022-02-09
West Coast,819,2733,2022-02-09
Canterbury,22444,49808,2022-02-09
South Canterbury,2121,5298,2022-02-09
Southern,12063,28939,2022-02-09
Overseas / Unknown,72,652,2022-02-09
Total,204727,476294,2022-02-09
