DHB,Dose1,Dose2,Population,Date
Northland,6672,1191,19480,2022-03-28
Waitemata,37230,11420,61881,2022-03-28
Auckland,26418,8687,40861,2022-03-28
Counties Manukau,35563,8901,65365,2022-03-28
Waikato,20235,4913,43635,2022-03-28
Lakes,4835,1264,11998,2022-03-28
Bay of Plenty,10405,2362,25345,2022-03-28
Tairawhiti,2732,639,5647,2022-03-28
Taranaki,5795,1876,12748,2022-03-28
Hawkes Bay,8004,1860,17749,2022-03-28
MidCentral,9003,2470,17720,2022-03-28
Whanganui,2661,732,6588,2022-03-28
Capital and Coast,18217,7276,27051,2022-03-28
Hutt Valley,9468,3068,14890,2022-03-28
Wairarapa,2182,472,4294,2022-03-28
Nelson Marlborough,7140,2281,13612,2022-03-28
West Coast,1223,260,2733,2022-03-28
Canterbury,30318,8696,49808,2022-03-28
South Canterbury,2791,697,5298,2022-03-28
Southern,15904,4005,28939,2022-03-28
Overseas / Unknown,80,20,652,2022-03-28
Total,256876,73090,476294,2022-03-28
