DHB,Dose1,Population,Date
Northland,3987,19480,2022-02-03
Waitemata,29864,61881,2022-02-03
Auckland,21482,40861,2022-02-03
Counties Manukau,25623,65365,2022-02-03
Waikato,14653,43635,2022-02-03
Lakes,3350,11998,2022-02-03
Bay of Plenty,7351,25345,2022-02-03
Tairawhiti,1560,5647,2022-02-03
Taranaki,4295,12748,2022-02-03
Hawkes Bay,5294,17749,2022-02-03
MidCentral,6070,17720,2022-02-03
Whanganui,1658,6588,2022-02-03
Capital and Coast,14536,27051,2022-02-03
Hutt Valley,7244,14890,2022-02-03
Wairarapa,1331,4294,2022-02-03
Nelson Marlborough,5751,13612,2022-02-03
West Coast,728,2733,2022-02-03
Canterbury,20409,49808,2022-02-03
South Canterbury,1993,5298,2022-02-03
Southern,10977,28939,2022-02-03
Overseas / Unknown,64,652,2022-02-03
Total,188220,476294,2022-02-03
