DHB,Dose1,Dose2,Population,Date
Northland,5886,37,19480,2022-02-28
Waitemata,35959,581,61881,2022-02-28
Auckland,25628,708,40861,2022-02-28
Counties Manukau,33696,830,65365,2022-02-28
Waikato,19093,206,43635,2022-02-28
Lakes,4466,48,11998,2022-02-28
Bay of Plenty,9749,124,25345,2022-02-28
Tairawhiti,2318,35,5647,2022-02-28
Taranaki,5362,39,12748,2022-02-28
Hawkes Bay,7095,77,17749,2022-02-28
MidCentral,8146,61,17720,2022-02-28
Whanganui,2358,12,6588,2022-02-28
Capital and Coast,17507,187,27051,2022-02-28
Hutt Valley,8984,60,14890,2022-02-28
Wairarapa,2019,44,4294,2022-02-28
Nelson Marlborough,6852,91,13612,2022-02-28
West Coast,1061,5,2733,2022-02-28
Canterbury,27968,229,49808,2022-02-28
South Canterbury,2530,15,5298,2022-02-28
Southern,14949,96,28939,2022-02-28
Overseas / Unknown,81,5,652,2022-02-28
Total,241707,3485,476294,2022-02-28
