DHB,Dose1,Dose2,Population,Date
Northland,6668,1121,19480,2022-03-26
Waitemata,37212,10586,61881,2022-03-26
Auckland,26408,8169,40861,2022-03-26
Counties Manukau,35560,8348,65365,2022-03-26
Waikato,20236,4605,43635,2022-03-26
Lakes,4833,1190,11998,2022-03-26
Bay of Plenty,10406,2154,25345,2022-03-26
Tairawhiti,2724,528,5647,2022-03-26
Taranaki,5791,1748,12748,2022-03-26
Hawkes Bay,8002,1604,17749,2022-03-26
MidCentral,9000,2238,17720,2022-03-26
Whanganui,2656,690,6588,2022-03-26
Capital and Coast,18217,6842,27051,2022-03-26
Hutt Valley,9472,2785,14890,2022-03-26
Wairarapa,2182,455,4294,2022-03-26
Nelson Marlborough,7142,2176,13612,2022-03-26
West Coast,1219,254,2733,2022-03-26
Canterbury,30308,7910,49808,2022-03-26
South Canterbury,2790,647,5298,2022-03-26
Southern,15888,3468,28939,2022-03-26
Overseas / Unknown,82,19,652,2022-03-26
Total,256796,67537,476294,2022-03-26
