DHB,Dose1,Dose2,Population,Date
Northland,5949,44,19480,2022-03-01
Waitemata,36087,624,61881,2022-03-01
Auckland,25695,758,40861,2022-03-01
Counties Manukau,33848,873,65365,2022-03-01
Waikato,19207,214,43635,2022-03-01
Lakes,4491,51,11998,2022-03-01
Bay of Plenty,9806,137,25345,2022-03-01
Tairawhiti,2343,37,5647,2022-03-01
Taranaki,5399,46,12748,2022-03-01
Hawkes Bay,7149,79,17749,2022-03-01
MidCentral,8220,64,17720,2022-03-01
Whanganui,2383,15,6588,2022-03-01
Capital and Coast,17575,196,27051,2022-03-01
Hutt Valley,9038,68,14890,2022-03-01
Wairarapa,2035,44,4294,2022-03-01
Nelson Marlborough,6880,96,13612,2022-03-01
West Coast,1086,5,2733,2022-03-01
Canterbury,28223,237,49808,2022-03-01
South Canterbury,2555,15,5298,2022-03-01
Southern,15057,113,28939,2022-03-01
Overseas / Unknown,83,5,652,2022-03-01
Total,243109,3718,476294,2022-03-01
