DHB,Dose1,Population,Date
Northland,3078,19480,2022-01-29
Waitemata,26073,61881,2022-01-29
Auckland,19040,40861,2022-01-29
Counties Manukau,21827,65365,2022-01-29
Waikato,12782,43635,2022-01-29
Lakes,2989,11998,2022-01-29
Bay of Plenty,6502,25345,2022-01-29
Tairawhiti,1195,5647,2022-01-29
Taranaki,3742,12748,2022-01-29
Hawkes Bay,4262,17749,2022-01-29
MidCentral,4998,17720,2022-01-29
Whanganui,1372,6588,2022-01-29
Capital and Coast,12471,27051,2022-01-29
Hutt Valley,6081,14890,2022-01-29
Wairarapa,976,4294,2022-01-29
Nelson Marlborough,5134,13612,2022-01-29
West Coast,577,2733,2022-01-29
Canterbury,15818,49808,2022-01-29
South Canterbury,1781,5298,2022-01-29
Southern,8550,28939,2022-01-29
Overseas / Unknown,45,652,2022-01-29
Total,159293,476294,2022-01-29
