DHB,Dose1,Dose2,Population,Date
Northland,6775,1864,19480,2022-04-10
Waitemata,37332,15196,61881,2022-04-10
Auckland,26416,11379,40861,2022-04-10
Counties Manukau,35718,12054,65365,2022-04-10
Waikato,20344,6464,43635,2022-04-10
Lakes,4859,1514,11998,2022-04-10
Bay of Plenty,10443,2951,25345,2022-04-10
Tairawhiti,2764,877,5647,2022-04-10
Taranaki,5825,2291,12748,2022-04-10
Hawkes Bay,8015,2536,17749,2022-04-10
MidCentral,9041,3402,17720,2022-04-10
Whanganui,2685,994,6588,2022-04-10
Capital and Coast,18241,9171,27051,2022-04-10
Hutt Valley,9504,3888,14890,2022-04-10
Wairarapa,2196,682,4294,2022-04-10
Nelson Marlborough,7164,2873,13612,2022-04-10
West Coast,1228,467,2733,2022-04-10
Canterbury,30450,12476,49808,2022-04-10
South Canterbury,2799,957,5298,2022-04-10
Southern,15933,6278,28939,2022-04-10
Overseas / Unknown,81,29,652,2022-04-10
Total,257813,98343,476294,2022-04-10
