DHB,Dose1,Dose2,Population,Date
Northland,6303,82,19480,2022-03-07
Waitemata,36672,894,61881,2022-03-07
Auckland,26068,1058,40861,2022-03-07
Counties Manukau,34704,1174,65365,2022-03-07
Waikato,19768,315,43635,2022-03-07
Lakes,4670,84,11998,2022-03-07
Bay of Plenty,10135,217,25345,2022-03-07
Tairawhiti,2509,60,5647,2022-03-07
Taranaki,5599,63,12748,2022-03-07
Hawkes Bay,7671,171,17749,2022-03-07
MidCentral,8626,108,17720,2022-03-07
Whanganui,2519,22,6588,2022-03-07
Capital and Coast,17969,296,27051,2022-03-07
Hutt Valley,9272,104,14890,2022-03-07
Wairarapa,2100,59,4294,2022-03-07
Nelson Marlborough,7000,124,13612,2022-03-07
West Coast,1152,13,2733,2022-03-07
Canterbury,29268,372,49808,2022-03-07
South Canterbury,2649,24,5298,2022-03-07
Southern,15395,177,28939,2022-03-07
Overseas / Unknown,84,5,652,2022-03-07
Total,250133,5419,476294,2022-03-07
