DHB,Dose1,Population,Date
Northland,4224,19480,2022-02-05
Waitemata,31044,61881,2022-02-05
Auckland,22433,40861,2022-02-05
Counties Manukau,27210,65365,2022-02-05
Waikato,15359,43635,2022-02-05
Lakes,3482,11998,2022-02-05
Bay of Plenty,7727,25345,2022-02-05
Tairawhiti,1672,5647,2022-02-05
Taranaki,4504,12748,2022-02-05
Hawkes Bay,5572,17749,2022-02-05
MidCentral,6376,17720,2022-02-05
Whanganui,1748,6588,2022-02-05
Capital and Coast,15171,27051,2022-02-05
Hutt Valley,7538,14890,2022-02-05
Wairarapa,1451,4294,2022-02-05
Nelson Marlborough,5943,13612,2022-02-05
West Coast,797,2733,2022-02-05
Canterbury,21601,49808,2022-02-05
South Canterbury,2036,5298,2022-02-05
Southern,11508,28939,2022-02-05
Overseas / Unknown,69,652,2022-02-05
Total,197465,476294,2022-02-05
