DHB,Dose1,Dose2,Population,Date
Northland,6445,98,19480,2022-03-11
Waitemata,36830,1157,61881,2022-03-11
Auckland,26194,1328,40861,2022-03-11
Counties Manukau,34917,1328,65365,2022-03-11
Waikato,20004,409,43635,2022-03-11
Lakes,4729,116,11998,2022-03-11
Bay of Plenty,10247,250,25345,2022-03-11
Tairawhiti,2567,70,5647,2022-03-11
Taranaki,5690,80,12748,2022-03-11
Hawkes Bay,7785,205,17749,2022-03-11
MidCentral,8789,140,17720,2022-03-11
Whanganui,2592,31,6588,2022-03-11
Capital and Coast,18101,345,27051,2022-03-11
Hutt Valley,9366,133,14890,2022-03-11
Wairarapa,2128,70,4294,2022-03-11
Nelson Marlborough,7053,173,13612,2022-03-11
West Coast,1187,19,2733,2022-03-11
Canterbury,29684,499,49808,2022-03-11
South Canterbury,2706,46,5298,2022-03-11
Southern,15607,244,28939,2022-03-11
Overseas / Unknown,83,5,652,2022-03-11
Total,252704,6744,476294,2022-03-11
