DHB,Dose1,Population,Date
Northland,5473,19480,2022-02-20
Waitemata,34283,61881,2022-02-20
Auckland,24705,40861,2022-02-20
Counties Manukau,31921,65365,2022-02-20
Waikato,17923,43635,2022-02-20
Lakes,4109,11998,2022-02-20
Bay of Plenty,9019,25345,2022-02-20
Tairawhiti,2125,5647,2022-02-20
Taranaki,5019,12748,2022-02-20
Hawkes Bay,6703,17749,2022-02-20
MidCentral,7607,17720,2022-02-20
Whanganui,2152,6588,2022-02-20
Capital and Coast,16794,27051,2022-02-20
Hutt Valley,8568,14890,2022-02-20
Wairarapa,1915,4294,2022-02-20
Nelson Marlborough,6587,13612,2022-02-20
West Coast,961,2733,2022-02-20
Canterbury,25750,49808,2022-02-20
South Canterbury,2375,5298,2022-02-20
Southern,14115,28939,2022-02-20
Overseas / Unknown,78,652,2022-02-20
Total,228182,476294,2022-02-20
