DHB,Dose1,Dose2,Population,Date
Northland,6805,2051,19480,2022-04-20
Waitemata,37382,16259,61881,2022-04-20
Auckland,26451,12102,40861,2022-04-20
Counties Manukau,35744,12887,65365,2022-04-20
Waikato,20365,6905,43635,2022-04-20
Lakes,4868,1573,11998,2022-04-20
Bay of Plenty,10457,3106,25345,2022-04-20
Tairawhiti,2772,925,5647,2022-04-20
Taranaki,5831,2359,12748,2022-04-20
Hawkes Bay,8022,2669,17749,2022-04-20
MidCentral,9047,3620,17720,2022-04-20
Whanganui,2685,1044,6588,2022-04-20
Capital and Coast,18274,9566,27051,2022-04-20
Hutt Valley,9507,4104,14890,2022-04-20
Wairarapa,2201,766,4294,2022-04-20
Nelson Marlborough,7175,3007,13612,2022-04-20
West Coast,1227,484,2733,2022-04-20
Canterbury,30490,13332,49808,2022-04-20
South Canterbury,2797,1030,5298,2022-04-20
Southern,15967,6802,28939,2022-04-20
Overseas / Unknown,85,31,652,2022-04-20
Total,258152,104622,476294,2022-04-20
