DHB,Dose1,Population,Date
Northland,4403,19480,2022-02-08
Waitemata,31787,61881,2022-02-08
Auckland,22858,40861,2022-02-08
Counties Manukau,28231,65365,2022-02-08
Waikato,15761,43635,2022-02-08
Lakes,3637,11998,2022-02-08
Bay of Plenty,7979,25345,2022-02-08
Tairawhiti,1779,5647,2022-02-08
Taranaki,4579,12748,2022-02-08
Hawkes Bay,5813,17749,2022-02-08
MidCentral,6597,17720,2022-02-08
Whanganui,1816,6588,2022-02-08
Capital and Coast,15336,27051,2022-02-08
Hutt Valley,7638,14890,2022-02-08
Wairarapa,1546,4294,2022-02-08
Nelson Marlborough,6030,13612,2022-02-08
West Coast,798,2733,2022-02-08
Canterbury,22183,49808,2022-02-08
South Canterbury,2072,5298,2022-02-08
Southern,11866,28939,2022-02-08
Overseas / Unknown,70,652,2022-02-08
Total,202779,476294,2022-02-08
