DHB,Dose1,Dose2,Population,Date
Northland,6579,524,19480,2022-03-19
Waitemata,37129,5875,61881,2022-03-19
Auckland,26381,4868,40861,2022-03-19
Counties Manukau,35472,4667,65365,2022-03-19
Waikato,20187,2422,43635,2022-03-19
Lakes,4823,675,11998,2022-03-19
Bay of Plenty,10380,1178,25345,2022-03-19
Tairawhiti,2684,273,5647,2022-03-19
Taranaki,5755,929,12748,2022-03-19
Hawkes Bay,7969,834,17749,2022-03-19
MidCentral,8951,1199,17720,2022-03-19
Whanganui,2643,352,6588,2022-03-19
Capital and Coast,18233,3951,27051,2022-03-19
Hutt Valley,9453,1472,14890,2022-03-19
Wairarapa,2167,292,4294,2022-03-19
Nelson Marlborough,7128,1191,13612,2022-03-19
West Coast,1215,116,2733,2022-03-19
Canterbury,30136,3854,49808,2022-03-19
South Canterbury,2758,332,5298,2022-03-19
Southern,15830,1482,28939,2022-03-19
Overseas / Unknown,80,9,652,2022-03-19
Total,255953,36495,476294,2022-03-19
