DHB,Dose1,Population,Date
Northland,2935,19480,2022-01-28
Waitemata,24901,61881,2022-01-28
Auckland,18306,40861,2022-01-28
Counties Manukau,20343,65365,2022-01-28
Waikato,12288,43635,2022-01-28
Lakes,2834,11998,2022-01-28
Bay of Plenty,6178,25345,2022-01-28
Tairawhiti,1186,5647,2022-01-28
Taranaki,3584,12748,2022-01-28
Hawkes Bay,3946,17749,2022-01-28
MidCentral,4667,17720,2022-01-28
Whanganui,1284,6588,2022-01-28
Capital and Coast,11485,27051,2022-01-28
Hutt Valley,5797,14890,2022-01-28
Wairarapa,888,4294,2022-01-28
Nelson Marlborough,4977,13612,2022-01-28
West Coast,510,2733,2022-01-28
Canterbury,14580,49808,2022-01-28
South Canterbury,1674,5298,2022-01-28
Southern,7801,28939,2022-01-28
Overseas / Unknown,40,652,2022-01-28
Total,150204,476294,2022-01-28
