DHB,Dose1,Dose2,Population,Date
Northland,6265,76,19480,2022-03-05
Waitemata,36536,819,61881,2022-03-05
Auckland,26010,982,40861,2022-03-05
Counties Manukau,34580,1099,65365,2022-03-05
Waikato,19683,288,43635,2022-03-05
Lakes,4620,74,11998,2022-03-05
Bay of Plenty,10079,194,25345,2022-03-05
Tairawhiti,2438,48,5647,2022-03-05
Taranaki,5557,57,12748,2022-03-05
Hawkes Bay,7551,136,17749,2022-03-05
MidCentral,8559,103,17720,2022-03-05
Whanganui,2502,19,6588,2022-03-05
Capital and Coast,17906,244,27051,2022-03-05
Hutt Valley,9227,92,14890,2022-03-05
Wairarapa,2088,59,4294,2022-03-05
Nelson Marlborough,6978,119,13612,2022-03-05
West Coast,1150,13,2733,2022-03-05
Canterbury,29127,346,49808,2022-03-05
South Canterbury,2638,19,5298,2022-03-05
Southern,15334,153,28939,2022-03-05
Overseas / Unknown,83,5,652,2022-03-05
Total,248911,4942,476294,2022-03-05
