DHB,Dose1,Dose2,Population,Date
Northland,5802,37,19480,2022-02-26
Waitemata,35597,505,61881,2022-02-26
Auckland,25484,623,40861,2022-02-26
Counties Manukau,33389,763,65365,2022-02-26
Waikato,18910,174,43635,2022-02-26
Lakes,4342,45,11998,2022-02-26
Bay of Plenty,9541,97,25345,2022-02-26
Tairawhiti,2246,27,5647,2022-02-26
Taranaki,5295,34,12748,2022-02-26
Hawkes Bay,6973,59,17749,2022-02-26
MidCentral,8046,55,17720,2022-02-26
Whanganui,2320,12,6588,2022-02-26
Capital and Coast,17366,175,27051,2022-02-26
Hutt Valley,8882,45,14890,2022-02-26
Wairarapa,1990,38,4294,2022-02-26
Nelson Marlborough,6817,83,13612,2022-02-26
West Coast,1056,5,2733,2022-02-26
Canterbury,27614,192,49808,2022-02-26
South Canterbury,2510,15,5298,2022-02-26
Southern,14821,84,28939,2022-02-26
Overseas / Unknown,81,5,652,2022-02-26
Total,239082,3070,476294,2022-02-26
