DHB,Dose1,Population,Date
Northland,2323,19480,2022-01-26
Waitemata,21277,61881,2022-01-26
Auckland,15783,40861,2022-01-26
Counties Manukau,16754,65365,2022-01-26
Waikato,10082,43635,2022-01-26
Lakes,2387,11998,2022-01-26
Bay of Plenty,5158,25345,2022-01-26
Tairawhiti,961,5647,2022-01-26
Taranaki,2982,12748,2022-01-26
Hawkes Bay,3105,17749,2022-01-26
MidCentral,3704,17720,2022-01-26
Whanganui,1050,6588,2022-01-26
Capital and Coast,9714,27051,2022-01-26
Hutt Valley,4642,14890,2022-01-26
Wairarapa,737,4294,2022-01-26
Nelson Marlborough,4288,13612,2022-01-26
West Coast,342,2733,2022-01-26
Canterbury,11535,49808,2022-01-26
South Canterbury,1327,5298,2022-01-26
Southern,5973,28939,2022-01-26
Overseas / Unknown,31,652,2022-01-26
Total,124155,476294,2022-01-26
