DHB,Dose1,Population,Date
Northland,5220,19480,2022-02-17
Waitemata,33546,61881,2022-02-17
Auckland,24170,40861,2022-02-17
Counties Manukau,30858,65365,2022-02-17
Waikato,17426,43635,2022-02-17
Lakes,3975,11998,2022-02-17
Bay of Plenty,8700,25345,2022-02-17
Tairawhiti,2044,5647,2022-02-17
Taranaki,4882,12748,2022-02-17
Hawkes Bay,6532,17749,2022-02-17
MidCentral,7333,17720,2022-02-17
Whanganui,2042,6588,2022-02-17
Capital and Coast,16383,27051,2022-02-17
Hutt Valley,8315,14890,2022-02-17
Wairarapa,1818,4294,2022-02-17
Nelson Marlborough,6394,13612,2022-02-17
West Coast,890,2733,2022-02-17
Canterbury,24773,49808,2022-02-17
South Canterbury,2330,5298,2022-02-17
Southern,13750,28939,2022-02-17
Overseas / Unknown,77,652,2022-02-17
Total,221458,476294,2022-02-17
