DHB,Dose1,Dose2,Population,Date
Northland,6752,1780,19480,2022-04-07
Waitemata,37303,14486,61881,2022-04-07
Auckland,26414,10828,40861,2022-04-07
Counties Manukau,35672,11362,65365,2022-04-07
Waikato,20305,6179,43635,2022-04-07
Lakes,4855,1479,11998,2022-04-07
Bay of Plenty,10445,2829,25345,2022-04-07
Tairawhiti,2760,832,5647,2022-04-07
Taranaki,5817,2217,12748,2022-04-07
Hawkes Bay,8017,2388,17749,2022-04-07
MidCentral,9042,3268,17720,2022-04-07
Whanganui,2682,956,6588,2022-04-07
Capital and Coast,18238,8863,27051,2022-04-07
Hutt Valley,9502,3710,14890,2022-04-07
Wairarapa,2192,651,4294,2022-04-07
Nelson Marlborough,7164,2765,13612,2022-04-07
West Coast,1226,440,2733,2022-04-07
Canterbury,30421,11855,49808,2022-04-07
South Canterbury,2799,928,5298,2022-04-07
Southern,15930,5891,28939,2022-04-07
Overseas / Unknown,81,28,652,2022-04-07
Total,257617,93735,476294,2022-04-07
