DHB,Dose1,Dose2,Population,Date
Northland,6697,1443,19480,2022-03-31
Waitemata,37247,12378,61881,2022-03-31
Auckland,26425,9431,40861,2022-03-31
Counties Manukau,35586,9633,65365,2022-03-31
Waikato,20257,5417,43635,2022-03-31
Lakes,4847,1332,11998,2022-03-31
Bay of Plenty,10423,2494,25345,2022-03-31
Tairawhiti,2744,707,5647,2022-03-31
Taranaki,5801,1996,12748,2022-03-31
Hawkes Bay,8012,2032,17749,2022-03-31
MidCentral,9027,2773,17720,2022-03-31
Whanganui,2666,821,6588,2022-03-31
Capital and Coast,18211,8001,27051,2022-03-31
Hutt Valley,9474,3305,14890,2022-03-31
Wairarapa,2183,538,4294,2022-03-31
Nelson Marlborough,7160,2478,13612,2022-03-31
West Coast,1222,371,2733,2022-03-31
Canterbury,30353,10121,49808,2022-03-31
South Canterbury,2800,777,5298,2022-03-31
Southern,15915,4798,28939,2022-03-31
Overseas / Unknown,79,24,652,2022-03-31
Total,257129,80870,476294,2022-03-31
