DHB,Dose1,Population,Date
Northland,4127,19480,2022-02-04
Waitemata,30477,61881,2022-02-04
Auckland,21996,40861,2022-02-04
Counties Manukau,26312,65365,2022-02-04
Waikato,15026,43635,2022-02-04
Lakes,3410,11998,2022-02-04
Bay of Plenty,7544,25345,2022-02-04
Tairawhiti,1617,5647,2022-02-04
Taranaki,4437,12748,2022-02-04
Hawkes Bay,5410,17749,2022-02-04
MidCentral,6144,17720,2022-02-04
Whanganui,1684,6588,2022-02-04
Capital and Coast,14769,27051,2022-02-04
Hutt Valley,7383,14890,2022-02-04
Wairarapa,1383,4294,2022-02-04
Nelson Marlborough,5851,13612,2022-02-04
West Coast,749,2733,2022-02-04
Canterbury,20951,49808,2022-02-04
South Canterbury,2031,5298,2022-02-04
Southern,11293,28939,2022-02-04
Overseas / Unknown,67,652,2022-02-04
Total,192661,476294,2022-02-04
