DHB,Dose1,Dose2,Population,Date
Northland,6787,1921,19480,2022-04-12
Waitemata,37347,15427,61881,2022-04-12
Auckland,26421,11531,40861,2022-04-12
Counties Manukau,35732,12233,65365,2022-04-12
Waikato,20350,6579,43635,2022-04-12
Lakes,4865,1528,11998,2022-04-12
Bay of Plenty,10446,2980,25345,2022-04-12
Tairawhiti,2764,879,5647,2022-04-12
Taranaki,5828,2309,12748,2022-04-12
Hawkes Bay,8014,2593,17749,2022-04-12
MidCentral,9043,3453,17720,2022-04-12
Whanganui,2682,1006,6588,2022-04-12
Capital and Coast,18252,9287,27051,2022-04-12
Hutt Valley,9505,3925,14890,2022-04-12
Wairarapa,2199,701,4294,2022-04-12
Nelson Marlborough,7167,2912,13612,2022-04-12
West Coast,1228,467,2733,2022-04-12
Canterbury,30463,12694,49808,2022-04-12
South Canterbury,2797,979,5298,2022-04-12
Southern,15948,6471,28939,2022-04-12
Overseas / Unknown,80,28,652,2022-04-12
Total,257918,99903,476294,2022-04-12
