DHB,Dose1,Dose2,Population,Date
Northland,6331,84,19480,2022-03-08
Waitemata,36706,935,61881,2022-03-08
Auckland,26099,1112,40861,2022-03-08
Counties Manukau,34756,1200,65365,2022-03-08
Waikato,19819,333,43635,2022-03-08
Lakes,4678,97,11998,2022-03-08
Bay of Plenty,10166,222,25345,2022-03-08
Tairawhiti,2521,63,5647,2022-03-08
Taranaki,5614,67,12748,2022-03-08
Hawkes Bay,7705,181,17749,2022-03-08
MidCentral,8661,108,17720,2022-03-08
Whanganui,2542,24,6588,2022-03-08
Capital and Coast,18009,305,27051,2022-03-08
Hutt Valley,9293,110,14890,2022-03-08
Wairarapa,2114,61,4294,2022-03-08
Nelson Marlborough,7007,129,13612,2022-03-08
West Coast,1166,13,2733,2022-03-08
Canterbury,29354,393,49808,2022-03-08
South Canterbury,2681,30,5298,2022-03-08
Southern,15455,189,28939,2022-03-08
Overseas / Unknown,85,5,652,2022-03-08
Total,250762,5658,476294,2022-03-08
