DHB,Dose1,Population,Date
Northland,4919,19480,2022-02-12
Waitemata,32855,61881,2022-02-12
Auckland,23611,40861,2022-02-12
Counties Manukau,29832,65365,2022-02-12
Waikato,16748,43635,2022-02-12
Lakes,3818,11998,2022-02-12
Bay of Plenty,8391,25345,2022-02-12
Tairawhiti,1903,5647,2022-02-12
Taranaki,4756,12748,2022-02-12
Hawkes Bay,6221,17749,2022-02-12
MidCentral,7007,17720,2022-02-12
Whanganui,1929,6588,2022-02-12
Capital and Coast,15938,27051,2022-02-12
Hutt Valley,8000,14890,2022-02-12
Wairarapa,1707,4294,2022-02-12
Nelson Marlborough,6241,13612,2022-02-12
West Coast,871,2733,2022-02-12
Canterbury,23682,49808,2022-02-12
South Canterbury,2224,5298,2022-02-12
Southern,12789,28939,2022-02-12
Overseas / Unknown,75,652,2022-02-12
Total,213517,476294,2022-02-12
