DHB,Dose1,Dose2,Population,Date
Northland,6734,1675,19480,2022-04-05
Waitemata,37298,14118,61881,2022-04-05
Auckland,26420,10596,40861,2022-04-05
Counties Manukau,35652,11120,65365,2022-04-05
Waikato,20301,5992,43635,2022-04-05
Lakes,4852,1443,11998,2022-04-05
Bay of Plenty,10440,2780,25345,2022-04-05
Tairawhiti,2753,797,5647,2022-04-05
Taranaki,5810,2187,12748,2022-04-05
Hawkes Bay,8018,2311,17749,2022-04-05
MidCentral,9036,3213,17720,2022-04-05
Whanganui,2682,920,6588,2022-04-05
Capital and Coast,18222,8733,27051,2022-04-05
Hutt Valley,9501,3645,14890,2022-04-05
Wairarapa,2190,621,4294,2022-04-05
Nelson Marlborough,7162,2722,13612,2022-04-05
West Coast,1223,421,2733,2022-04-05
Canterbury,30408,11445,49808,2022-04-05
South Canterbury,2798,885,5298,2022-04-05
Southern,15919,5642,28939,2022-04-05
Overseas / Unknown,79,27,652,2022-04-05
Total,257498,91293,476294,2022-04-05
