DHB,Dose1,Population,Date
Northland,5456,19480,2022-02-19
Waitemata,34158,61881,2022-02-19
Auckland,24621,40861,2022-02-19
Counties Manukau,31815,65365,2022-02-19
Waikato,17858,43635,2022-02-19
Lakes,4061,11998,2022-02-19
Bay of Plenty,8962,25345,2022-02-19
Tairawhiti,2117,5647,2022-02-19
Taranaki,4997,12748,2022-02-19
Hawkes Bay,6650,17749,2022-02-19
MidCentral,7570,17720,2022-02-19
Whanganui,2130,6588,2022-02-19
Capital and Coast,16747,27051,2022-02-19
Hutt Valley,8533,14890,2022-02-19
Wairarapa,1905,4294,2022-02-19
Nelson Marlborough,6553,13612,2022-02-19
West Coast,961,2733,2022-02-19
Canterbury,25622,49808,2022-02-19
South Canterbury,2375,5298,2022-02-19
Southern,14083,28939,2022-02-19
Overseas / Unknown,78,652,2022-02-19
Total,227252,476294,2022-02-19
