DHB,Dose1,Dose2,Population,Date
Northland,6832,2256,19480,2022-05-01
Waitemata,37498,17835,61881,2022-05-01
Auckland,26550,13217,40861,2022-05-01
Counties Manukau,35846,14434,65365,2022-05-01
Waikato,20396,7528,43635,2022-05-01
Lakes,4884,1729,11998,2022-05-01
Bay of Plenty,10474,3323,25345,2022-05-01
Tairawhiti,2777,1020,5647,2022-05-01
Taranaki,5847,2520,12748,2022-05-01
Hawkes Bay,8067,2901,17749,2022-05-01
MidCentral,9071,3900,17720,2022-05-01
Whanganui,2693,1117,6588,2022-05-01
Capital and Coast,18317,10114,27051,2022-05-01
Hutt Valley,9515,4426,14890,2022-05-01
Wairarapa,2201,827,4294,2022-05-01
Nelson Marlborough,7185,3138,13612,2022-05-01
West Coast,1230,547,2733,2022-05-01
Canterbury,30570,14493,49808,2022-05-01
South Canterbury,2799,1088,5298,2022-05-01
Southern,15994,7313,28939,2022-05-01
Overseas / Unknown,81,30,652,2022-05-01
Total,258827,113756,476294,2022-05-01
