DHB,Dose1,Population,Date
Northland,4984,19480,2022-02-14
Waitemata,33124,61881,2022-02-14
Auckland,23827,40861,2022-02-14
Counties Manukau,30174,65365,2022-02-14
Waikato,16928,43635,2022-02-14
Lakes,3896,11998,2022-02-14
Bay of Plenty,8534,25345,2022-02-14
Tairawhiti,1949,5647,2022-02-14
Taranaki,4803,12748,2022-02-14
Hawkes Bay,6391,17749,2022-02-14
MidCentral,7094,17720,2022-02-14
Whanganui,1955,6588,2022-02-14
Capital and Coast,16078,27051,2022-02-14
Hutt Valley,8134,14890,2022-02-14
Wairarapa,1759,4294,2022-02-14
Nelson Marlborough,6268,13612,2022-02-14
West Coast,871,2733,2022-02-14
Canterbury,23963,49808,2022-02-14
South Canterbury,2251,5298,2022-02-14
Southern,13197,28939,2022-02-14
Overseas / Unknown,76,652,2022-02-14
Total,216256,476294,2022-02-14
