DHB,Dose1,Population,Date
Northland,1944,19480,2022-01-25
Waitemata,19316,61881,2022-01-25
Auckland,14405,40861,2022-01-25
Counties Manukau,15017,65365,2022-01-25
Waikato,8787,43635,2022-01-25
Lakes,2125,11998,2022-01-25
Bay of Plenty,4606,25345,2022-01-25
Tairawhiti,803,5647,2022-01-25
Taranaki,2675,12748,2022-01-25
Hawkes Bay,2677,17749,2022-01-25
MidCentral,3219,17720,2022-01-25
Whanganui,937,6588,2022-01-25
Capital and Coast,8640,27051,2022-01-25
Hutt Valley,4060,14890,2022-01-25
Wairarapa,605,4294,2022-01-25
Nelson Marlborough,3922,13612,2022-01-25
West Coast,270,2733,2022-01-25
Canterbury,9897,49808,2022-01-25
South Canterbury,1195,5298,2022-01-25
Southern,4999,28939,2022-01-25
Overseas / Unknown,24,652,2022-01-25
Total,110123,476294,2022-01-25
