DHB,Dose1,Dose2,Population,Date
Northland,6819,2155,19480,2022-04-26
Waitemata,37449,17030,61881,2022-04-26
Auckland,26494,12666,40861,2022-04-26
Counties Manukau,35800,13666,65365,2022-04-26
Waikato,20374,7228,43635,2022-04-26
Lakes,4873,1648,11998,2022-04-26
Bay of Plenty,10471,3208,25345,2022-04-26
Tairawhiti,2775,956,5647,2022-04-26
Taranaki,5837,2436,12748,2022-04-26
Hawkes Bay,8045,2746,17749,2022-04-26
MidCentral,9063,3745,17720,2022-04-26
Whanganui,2690,1073,6588,2022-04-26
Capital and Coast,18287,9820,27051,2022-04-26
Hutt Valley,9515,4298,14890,2022-04-26
Wairarapa,2200,796,4294,2022-04-26
Nelson Marlborough,7174,3073,13612,2022-04-26
West Coast,1226,515,2733,2022-04-26
Canterbury,30532,13920,49808,2022-04-26
South Canterbury,2794,1056,5298,2022-04-26
Southern,15980,7082,28939,2022-04-26
Overseas / Unknown,83,31,652,2022-04-26
Total,258481,109148,476294,2022-04-26
