DHB,Dose1,Dose2,Population,Date
Northland,6625,937,19480,2022-03-24
Waitemata,37172,8740,61881,2022-03-24
Auckland,26398,6946,40861,2022-03-24
Counties Manukau,35503,6573,65365,2022-03-24
Waikato,20205,3821,43635,2022-03-24
Lakes,4834,963,11998,2022-03-24
Bay of Plenty,10397,1798,25345,2022-03-24
Tairawhiti,2721,512,5647,2022-03-24
Taranaki,5788,1423,12748,2022-03-24
Hawkes Bay,7996,1344,17749,2022-03-24
MidCentral,8983,1835,17720,2022-03-24
Whanganui,2656,558,6588,2022-03-24
Capital and Coast,18235,5627,27051,2022-03-24
Hutt Valley,9473,2148,14890,2022-03-24
Wairarapa,2178,407,4294,2022-03-24
Nelson Marlborough,7132,1835,13612,2022-03-24
West Coast,1209,175,2733,2022-03-24
Canterbury,30238,6256,49808,2022-03-24
South Canterbury,2780,544,5298,2022-03-24
Southern,15876,2783,28939,2022-03-24
Overseas / Unknown,82,17,652,2022-03-24
Total,256481,55242,476294,2022-03-24
