DHB,Dose1,Dose2,Population,Date
Northland,6522,201,19480,2022-03-15
Waitemata,37020,2611,61881,2022-03-15
Auckland,26290,2410,40861,2022-03-15
Counties Manukau,35283,2121,65365,2022-03-15
Waikato,20119,993,43635,2022-03-15
Lakes,4784,265,11998,2022-03-15
Bay of Plenty,10338,591,25345,2022-03-15
Tairawhiti,2615,134,5647,2022-03-15
Taranaki,5729,337,12748,2022-03-15
Hawkes Bay,7896,359,17749,2022-03-15
MidCentral,8877,406,17720,2022-03-15
Whanganui,2618,117,6588,2022-03-15
Capital and Coast,18184,1486,27051,2022-03-15
Hutt Valley,9425,573,14890,2022-03-15
Wairarapa,2144,136,4294,2022-03-15
Nelson Marlborough,7116,542,13612,2022-03-15
West Coast,1203,30,2733,2022-03-15
Canterbury,29968,1374,49808,2022-03-15
South Canterbury,2733,113,5298,2022-03-15
Southern,15711,561,28939,2022-03-15
Overseas / Unknown,81,5,652,2022-03-15
Total,254656,15363,476294,2022-03-15
