DHB,Dose1,Dose2,Population,Date
Northland,6429,94,19480,2022-03-10
Waitemata,36792,1051,61881,2022-03-10
Auckland,26159,1231,40861,2022-03-10
Counties Manukau,34853,1250,65365,2022-03-10
Waikato,19946,377,43635,2022-03-10
Lakes,4710,106,11998,2022-03-10
Bay of Plenty,10206,231,25345,2022-03-10
Tairawhiti,2565,67,5647,2022-03-10
Taranaki,5654,72,12748,2022-03-10
Hawkes Bay,7768,200,17749,2022-03-10
MidCentral,8755,131,17720,2022-03-10
Whanganui,2577,28,6588,2022-03-10
Capital and Coast,18066,335,27051,2022-03-10
Hutt Valley,9332,125,14890,2022-03-10
Wairarapa,2124,67,4294,2022-03-10
Nelson Marlborough,7037,149,13612,2022-03-10
West Coast,1176,16,2733,2022-03-10
Canterbury,29578,450,49808,2022-03-10
South Canterbury,2702,36,5298,2022-03-10
Southern,15560,211,28939,2022-03-10
Overseas / Unknown,84,5,652,2022-03-10
Total,252073,6230,476294,2022-03-10
