DHB,Dose1,Dose2,Population,Date
Northland,6035,46,19480,2022-03-02
Waitemata,36205,664,61881,2022-03-02
Auckland,25736,796,40861,2022-03-02
Counties Manukau,33985,912,65365,2022-03-02
Waikato,19341,238,43635,2022-03-02
Lakes,4523,59,11998,2022-03-02
Bay of Plenty,9883,150,25345,2022-03-02
Tairawhiti,2399,39,5647,2022-03-02
Taranaki,5441,47,12748,2022-03-02
Hawkes Bay,7204,87,17749,2022-03-02
MidCentral,8312,80,17720,2022-03-02
Whanganui,2420,16,6588,2022-03-02
Capital and Coast,17651,201,27051,2022-03-02
Hutt Valley,9096,77,14890,2022-03-02
Wairarapa,2046,45,4294,2022-03-02
Nelson Marlborough,6908,100,13612,2022-03-02
West Coast,1093,6,2733,2022-03-02
Canterbury,28440,259,49808,2022-03-02
South Canterbury,2571,16,5298,2022-03-02
Southern,15136,120,28939,2022-03-02
Overseas / Unknown,83,5,652,2022-03-02
Total,244508,3960,476294,2022-03-02
