DHB,Dose1,Population,Date
Northland,4258,19480,2022-02-06
Waitemata,31357,61881,2022-02-06
Auckland,22590,40861,2022-02-06
Counties Manukau,27509,65365,2022-02-06
Waikato,15460,43635,2022-02-06
Lakes,3568,11998,2022-02-06
Bay of Plenty,7839,25345,2022-02-06
Tairawhiti,1750,5647,2022-02-06
Taranaki,4533,12748,2022-02-06
Hawkes Bay,5638,17749,2022-02-06
MidCentral,6485,17720,2022-02-06
Whanganui,1770,6588,2022-02-06
Capital and Coast,15180,27051,2022-02-06
Hutt Valley,7586,14890,2022-02-06
Wairarapa,1481,4294,2022-02-06
Nelson Marlborough,5967,13612,2022-02-06
West Coast,797,2733,2022-02-06
Canterbury,21746,49808,2022-02-06
South Canterbury,2036,5298,2022-02-06
Southern,11549,28939,2022-02-06
Overseas / Unknown,69,652,2022-02-06
Total,199168,476294,2022-02-06
