DHB,Dose1,Population,Date
Northland,2719,19480,2022-01-27
Waitemata,23068,61881,2022-01-27
Auckland,16936,40861,2022-01-27
Counties Manukau,18426,65365,2022-01-27
Waikato,11149,43635,2022-01-27
Lakes,2599,11998,2022-01-27
Bay of Plenty,5625,25345,2022-01-27
Tairawhiti,1075,5647,2022-01-27
Taranaki,3284,12748,2022-01-27
Hawkes Bay,3614,17749,2022-01-27
MidCentral,4227,17720,2022-01-27
Whanganui,1188,6588,2022-01-27
Capital and Coast,10653,27051,2022-01-27
Hutt Valley,5248,14890,2022-01-27
Wairarapa,819,4294,2022-01-27
Nelson Marlborough,4642,13612,2022-01-27
West Coast,412,2733,2022-01-27
Canterbury,13088,49808,2022-01-27
South Canterbury,1495,5298,2022-01-27
Southern,6997,28939,2022-01-27
Overseas / Unknown,36,652,2022-01-27
Total,137300,476294,2022-01-27
