DHB,Dose1,Dose2,Population,Date
Northland,202,5,582,2022-03-10
Waitemata,2898,80,6497,2022-03-10
Auckland,3208,148,7257,2022-03-10
Counties Manukau,9199,379,20488,2022-03-10
Waikato,908,25,1950,2022-03-10
Lakes,171,5,405,2022-03-10
Bay of Plenty,278,8,696,2022-03-10
Tairawhiti,80,5,128,2022-03-10
Taranaki,100,5,260,2022-03-10
Hawkes Bay,405,7,994,2022-03-10
MidCentral,396,5,932,2022-03-10
Whanganui,95,5,277,2022-03-10
Capital and Coast,1377,26,2822,2022-03-10
Hutt Valley,816,9,1521,2022-03-10
Wairarapa,79,5,141,2022-03-10
Nelson Marlborough,246,5,477,2022-03-10
West Coast,25,5,56,2022-03-10
Canterbury,1207,13,2442,2022-03-10
South Canterbury,144,5,211,2022-03-10
Southern,601,5,1171,2022-03-10
Overseas / Unknown,13,5,91,2022-03-10
Total,22448,715,49398,2022-03-10
