DHB,Dose1,Population,Date
Northland,166,582,2022-02-19
Waitemata,2542,6497,2022-02-19
Auckland,2849,7257,2022-02-19
Counties Manukau,8055,20488,2022-02-19
Waikato,767,1950,2022-02-19
Lakes,139,405,2022-02-19
Bay of Plenty,225,696,2022-02-19
Tairawhiti,65,128,2022-02-19
Taranaki,74,260,2022-02-19
Hawkes Bay,321,994,2022-02-19
MidCentral,322,932,2022-02-19
Whanganui,69,277,2022-02-19
Capital and Coast,1188,2822,2022-02-19
Hutt Valley,676,1521,2022-02-19
Wairarapa,60,141,2022-02-19
Nelson Marlborough,223,477,2022-02-19
West Coast,22,56,2022-02-19
Canterbury,954,2442,2022-02-19
South Canterbury,121,211,2022-02-19
Southern,517,1171,2022-02-19
Overseas / Unknown,10,91,2022-02-19
Total,19365,49398,2022-02-19
