DHB,Dose1,Dose2,Population,Date
Northland,201,8,582,2022-03-17
Waitemata,2955,204,6497,2022-03-17
Auckland,3267,274,7257,2022-03-17
Counties Manukau,9415,606,20488,2022-03-17
Waikato,924,66,1950,2022-03-17
Lakes,181,13,405,2022-03-17
Bay of Plenty,283,21,696,2022-03-17
Tairawhiti,82,5,128,2022-03-17
Taranaki,103,12,260,2022-03-17
Hawkes Bay,425,11,994,2022-03-17
MidCentral,416,30,932,2022-03-17
Whanganui,98,5,277,2022-03-17
Capital and Coast,1403,93,2822,2022-03-17
Hutt Valley,827,40,1521,2022-03-17
Wairarapa,80,5,141,2022-03-17
Nelson Marlborough,256,11,477,2022-03-17
West Coast,25,5,56,2022-03-17
Canterbury,1224,37,2442,2022-03-17
South Canterbury,147,6,211,2022-03-17
Southern,616,18,1171,2022-03-17
Overseas / Unknown,12,5,91,2022-03-17
Total,22940,1459,49398,2022-03-17
