DHB,Dose1,Dose2,Population,Date
Northland,212,50,582,2022-04-13
Waitemata,2993,733,6497,2022-04-13
Auckland,3325,863,7257,2022-04-13
Counties Manukau,9604,2157,20488,2022-04-13
Waikato,931,209,1950,2022-04-13
Lakes,185,47,405,2022-04-13
Bay of Plenty,293,49,696,2022-04-13
Tairawhiti,85,12,128,2022-04-13
Taranaki,107,35,260,2022-04-13
Hawkes Bay,431,80,994,2022-04-13
MidCentral,432,114,932,2022-04-13
Whanganui,104,19,277,2022-04-13
Capital and Coast,1418,386,2822,2022-04-13
Hutt Valley,828,189,1521,2022-04-13
Wairarapa,81,16,141,2022-04-13
Nelson Marlborough,261,64,477,2022-04-13
West Coast,24,8,56,2022-04-13
Canterbury,1269,321,2442,2022-04-13
South Canterbury,153,22,211,2022-04-13
Southern,636,172,1171,2022-04-13
Overseas / Unknown,11,5,91,2022-04-13
Total,23383,5549,49398,2022-04-13
