DHB,Dose1,Dose2,Population,Date
Northland,201,5,582,2022-03-11
Waitemata,2907,84,6497,2022-03-11
Auckland,3214,152,7257,2022-03-11
Counties Manukau,9216,396,20488,2022-03-11
Waikato,912,28,1950,2022-03-11
Lakes,173,5,405,2022-03-11
Bay of Plenty,278,9,696,2022-03-11
Tairawhiti,80,5,128,2022-03-11
Taranaki,100,5,260,2022-03-11
Hawkes Bay,407,7,994,2022-03-11
MidCentral,400,5,932,2022-03-11
Whanganui,95,5,277,2022-03-11
Capital and Coast,1379,28,2822,2022-03-11
Hutt Valley,821,9,1521,2022-03-11
Wairarapa,80,5,141,2022-03-11
Nelson Marlborough,246,5,477,2022-03-11
West Coast,25,5,56,2022-03-11
Canterbury,1209,15,2442,2022-03-11
South Canterbury,145,5,211,2022-03-11
Southern,603,7,1171,2022-03-11
Overseas / Unknown,13,5,91,2022-03-11
Total,22504,757,49398,2022-03-11
