DHB,Dose1,Population,Date
Northland,121,582,2022-02-03
Waitemata,2046,6497,2022-02-03
Auckland,2203,7257,2022-02-03
Counties Manukau,5746,20488,2022-02-03
Waikato,595,1950,2022-02-03
Lakes,122,405,2022-02-03
Bay of Plenty,156,696,2022-02-03
Tairawhiti,43,128,2022-02-03
Taranaki,57,260,2022-02-03
Hawkes Bay,210,994,2022-02-03
MidCentral,233,932,2022-02-03
Whanganui,38,277,2022-02-03
Capital and Coast,932,2822,2022-02-03
Hutt Valley,514,1521,2022-02-03
Wairarapa,31,141,2022-02-03
Nelson Marlborough,160,477,2022-02-03
West Coast,13,56,2022-02-03
Canterbury,701,2442,2022-02-03
South Canterbury,97,211,2022-02-03
Southern,385,1171,2022-02-03
Overseas / Unknown,8,91,2022-02-03
Total,14411,49398,2022-02-03
