DHB,Dose1,Dose2,Population,Date
Northland,199,5,582,2022-03-07
Waitemata,2886,75,6497,2022-03-07
Auckland,3181,140,7257,2022-03-07
Counties Manukau,9167,362,20488,2022-03-07
Waikato,895,21,1950,2022-03-07
Lakes,171,5,405,2022-03-07
Bay of Plenty,276,8,696,2022-03-07
Tairawhiti,78,5,128,2022-03-07
Taranaki,97,5,260,2022-03-07
Hawkes Bay,400,7,994,2022-03-07
MidCentral,394,5,932,2022-03-07
Whanganui,93,5,277,2022-03-07
Capital and Coast,1370,25,2822,2022-03-07
Hutt Valley,809,8,1521,2022-03-07
Wairarapa,76,5,141,2022-03-07
Nelson Marlborough,242,5,477,2022-03-07
West Coast,25,5,56,2022-03-07
Canterbury,1193,12,2442,2022-03-07
South Canterbury,138,5,211,2022-03-07
Southern,594,5,1171,2022-03-07
Overseas / Unknown,12,5,91,2022-03-07
Total,22296,675,49398,2022-03-07
