DHB,Dose1,Population,Date
Northland,87,582,2022-01-28
Waitemata,1617,6497,2022-01-28
Auckland,1644,7257,2022-01-28
Counties Manukau,4076,20488,2022-01-28
Waikato,461,1950,2022-01-28
Lakes,107,405,2022-01-28
Bay of Plenty,129,696,2022-01-28
Tairawhiti,18,128,2022-01-28
Taranaki,50,260,2022-01-28
Hawkes Bay,135,994,2022-01-28
MidCentral,153,932,2022-01-28
Whanganui,31,277,2022-01-28
Capital and Coast,656,2822,2022-01-28
Hutt Valley,364,1521,2022-01-28
Wairarapa,15,141,2022-01-28
Nelson Marlborough,126,477,2022-01-28
West Coast,5,56,2022-01-28
Canterbury,449,2442,2022-01-28
South Canterbury,80,211,2022-01-28
Southern,251,1171,2022-01-28
Overseas / Unknown,5,91,2022-01-28
Total,10458,49398,2022-01-28
