DHB,Dose1,Dose2,Population,Date
Northland,207,22,582,2022-03-25
Waitemata,2977,464,6497,2022-03-25
Auckland,3290,529,7257,2022-03-25
Counties Manukau,9510,1194,20488,2022-03-25
Waikato,926,144,1950,2022-03-25
Lakes,184,33,405,2022-03-25
Bay of Plenty,291,38,696,2022-03-25
Tairawhiti,81,7,128,2022-03-25
Taranaki,106,24,260,2022-03-25
Hawkes Bay,431,41,994,2022-03-25
MidCentral,428,63,932,2022-03-25
Whanganui,101,10,277,2022-03-25
Capital and Coast,1409,208,2822,2022-03-25
Hutt Valley,829,96,1521,2022-03-25
Wairarapa,80,9,141,2022-03-25
Nelson Marlborough,259,38,477,2022-03-25
West Coast,25,5,56,2022-03-25
Canterbury,1243,126,2442,2022-03-25
South Canterbury,149,12,211,2022-03-25
Southern,630,64,1171,2022-03-25
Overseas / Unknown,13,5,91,2022-03-25
Total,23169,3127,49398,2022-03-25
