DHB,Dose1,Dose2,Population,Date
Northland,185,5,582,2022-03-02
Waitemata,2821,49,6497,2022-03-02
Auckland,3102,107,7257,2022-03-02
Counties Manukau,8878,280,20488,2022-03-02
Waikato,872,16,1950,2022-03-02
Lakes,164,5,405,2022-03-02
Bay of Plenty,268,5,696,2022-03-02
Tairawhiti,75,5,128,2022-03-02
Taranaki,88,5,260,2022-03-02
Hawkes Bay,373,5,994,2022-03-02
MidCentral,379,5,932,2022-03-02
Whanganui,86,5,277,2022-03-02
Capital and Coast,1337,19,2822,2022-03-02
Hutt Valley,778,5,1521,2022-03-02
Wairarapa,76,5,141,2022-03-02
Nelson Marlborough,238,5,477,2022-03-02
West Coast,24,5,56,2022-03-02
Canterbury,1132,8,2442,2022-03-02
South Canterbury,130,5,211,2022-03-02
Southern,574,5,1171,2022-03-02
Overseas / Unknown,12,5,91,2022-03-02
Total,21592,506,49398,2022-03-02
