DHB,Dose1,Population,Date
Northland,114,582,2022-02-02
Waitemata,1991,6497,2022-02-02
Auckland,2135,7257,2022-02-02
Counties Manukau,5563,20488,2022-02-02
Waikato,563,1950,2022-02-02
Lakes,120,405,2022-02-02
Bay of Plenty,154,696,2022-02-02
Tairawhiti,40,128,2022-02-02
Taranaki,56,260,2022-02-02
Hawkes Bay,201,994,2022-02-02
MidCentral,218,932,2022-02-02
Whanganui,37,277,2022-02-02
Capital and Coast,903,2822,2022-02-02
Hutt Valley,497,1521,2022-02-02
Wairarapa,28,141,2022-02-02
Nelson Marlborough,156,477,2022-02-02
West Coast,13,56,2022-02-02
Canterbury,656,2442,2022-02-02
South Canterbury,92,211,2022-02-02
Southern,349,1171,2022-02-02
Overseas / Unknown,8,91,2022-02-02
Total,13894,49398,2022-02-02
