DHB,Dose1,Dose2,Population,Date
Northland,206,13,582,2022-03-21
Waitemata,2965,348,6497,2022-03-21
Auckland,3285,402,7257,2022-03-21
Counties Manukau,9507,937,20488,2022-03-21
Waikato,922,108,1950,2022-03-21
Lakes,183,24,405,2022-03-21
Bay of Plenty,290,30,696,2022-03-21
Tairawhiti,81,5,128,2022-03-21
Taranaki,106,19,260,2022-03-21
Hawkes Bay,429,26,994,2022-03-21
MidCentral,423,52,932,2022-03-21
Whanganui,98,6,277,2022-03-21
Capital and Coast,1410,148,2822,2022-03-21
Hutt Valley,827,61,1521,2022-03-21
Wairarapa,80,9,141,2022-03-21
Nelson Marlborough,258,24,477,2022-03-21
West Coast,25,5,56,2022-03-21
Canterbury,1236,80,2442,2022-03-21
South Canterbury,148,11,211,2022-03-21
Southern,626,33,1171,2022-03-21
Overseas / Unknown,12,5,91,2022-03-21
Total,23117,2337,49398,2022-03-21
