DHB,Dose1,Dose2,Population,Date
Northland,201,5,582,2022-03-12
Waitemata,2927,107,6497,2022-03-12
Auckland,3237,177,7257,2022-03-12
Counties Manukau,9375,431,20488,2022-03-12
Waikato,915,29,1950,2022-03-12
Lakes,176,5,405,2022-03-12
Bay of Plenty,283,9,696,2022-03-12
Tairawhiti,80,5,128,2022-03-12
Taranaki,103,5,260,2022-03-12
Hawkes Bay,412,7,994,2022-03-12
MidCentral,409,5,932,2022-03-12
Whanganui,95,5,277,2022-03-12
Capital and Coast,1382,28,2822,2022-03-12
Hutt Valley,822,9,1521,2022-03-12
Wairarapa,80,5,141,2022-03-12
Nelson Marlborough,251,5,477,2022-03-12
West Coast,25,5,56,2022-03-12
Canterbury,1215,17,2442,2022-03-12
South Canterbury,145,5,211,2022-03-12
Southern,603,7,1171,2022-03-12
Overseas / Unknown,13,5,91,2022-03-12
Total,22749,844,49398,2022-03-12
