DHB,Dose1,Dose2,Population,Date
Northland,211,50,582,2022-04-11
Waitemata,2994,715,6497,2022-04-11
Auckland,3316,849,7257,2022-04-11
Counties Manukau,9609,2132,20488,2022-04-11
Waikato,931,206,1950,2022-04-11
Lakes,185,45,405,2022-04-11
Bay of Plenty,292,49,696,2022-04-11
Tairawhiti,85,12,128,2022-04-11
Taranaki,107,35,260,2022-04-11
Hawkes Bay,432,79,994,2022-04-11
MidCentral,432,113,932,2022-04-11
Whanganui,104,17,277,2022-04-11
Capital and Coast,1417,381,2822,2022-04-11
Hutt Valley,828,186,1521,2022-04-11
Wairarapa,81,15,141,2022-04-11
Nelson Marlborough,261,63,477,2022-04-11
West Coast,24,8,56,2022-04-11
Canterbury,1269,315,2442,2022-04-11
South Canterbury,153,22,211,2022-04-11
Southern,636,169,1171,2022-04-11
Overseas / Unknown,12,5,91,2022-04-11
Total,23379,5465,49398,2022-04-11
