DHB,Dose1,Population,Date
Northland,133,582,2022-02-08
Waitemata,2268,6497,2022-02-08
Auckland,2456,7257,2022-02-08
Counties Manukau,6671,20488,2022-02-08
Waikato,666,1950,2022-02-08
Lakes,129,405,2022-02-08
Bay of Plenty,195,696,2022-02-08
Tairawhiti,58,128,2022-02-08
Taranaki,63,260,2022-02-08
Hawkes Bay,239,994,2022-02-08
MidCentral,257,932,2022-02-08
Whanganui,43,277,2022-02-08
Capital and Coast,1023,2822,2022-02-08
Hutt Valley,560,1521,2022-02-08
Wairarapa,38,141,2022-02-08
Nelson Marlborough,174,477,2022-02-08
West Coast,17,56,2022-02-08
Canterbury,759,2442,2022-02-08
South Canterbury,103,211,2022-02-08
Southern,418,1171,2022-02-08
Overseas / Unknown,8,91,2022-02-08
Total,16278,49398,2022-02-08
