DHB,Dose1,Dose2,Population,Date
Northland,199,5,582,2022-03-05
Waitemata,2868,65,6497,2022-03-05
Auckland,3174,135,7257,2022-03-05
Counties Manukau,9121,346,20488,2022-03-05
Waikato,889,18,1950,2022-03-05
Lakes,168,5,405,2022-03-05
Bay of Plenty,272,5,696,2022-03-05
Tairawhiti,76,5,128,2022-03-05
Taranaki,95,5,260,2022-03-05
Hawkes Bay,392,5,994,2022-03-05
MidCentral,388,5,932,2022-03-05
Whanganui,93,5,277,2022-03-05
Capital and Coast,1366,24,2822,2022-03-05
Hutt Valley,798,6,1521,2022-03-05
Wairarapa,76,5,141,2022-03-05
Nelson Marlborough,243,5,477,2022-03-05
West Coast,25,5,56,2022-03-05
Canterbury,1178,10,2442,2022-03-05
South Canterbury,136,5,211,2022-03-05
Southern,587,5,1171,2022-03-05
Overseas / Unknown,12,5,91,2022-03-05
Total,22156,630,49398,2022-03-05
