DHB,Dose1,Population,Date
Northland,126,582,2022-02-04
Waitemata,2092,6497,2022-02-04
Auckland,2288,7257,2022-02-04
Counties Manukau,5928,20488,2022-02-04
Waikato,622,1950,2022-02-04
Lakes,122,405,2022-02-04
Bay of Plenty,171,696,2022-02-04
Tairawhiti,46,128,2022-02-04
Taranaki,60,260,2022-02-04
Hawkes Bay,218,994,2022-02-04
MidCentral,239,932,2022-02-04
Whanganui,38,277,2022-02-04
Capital and Coast,952,2822,2022-02-04
Hutt Valley,531,1521,2022-02-04
Wairarapa,31,141,2022-02-04
Nelson Marlborough,167,477,2022-02-04
West Coast,13,56,2022-02-04
Canterbury,714,2442,2022-02-04
South Canterbury,99,211,2022-02-04
Southern,394,1171,2022-02-04
Overseas / Unknown,8,91,2022-02-04
Total,14859,49398,2022-02-04
