DHB,Dose1,Population,Date
Northland,77,582,2022-01-26
Waitemata,1341,6497,2022-01-26
Auckland,1375,7257,2022-01-26
Counties Manukau,3211,20488,2022-01-26
Waikato,388,1950,2022-01-26
Lakes,89,405,2022-01-26
Bay of Plenty,106,696,2022-01-26
Tairawhiti,10,128,2022-01-26
Taranaki,44,260,2022-01-26
Hawkes Bay,106,994,2022-01-26
MidCentral,133,932,2022-01-26
Whanganui,28,277,2022-01-26
Capital and Coast,519,2822,2022-01-26
Hutt Valley,253,1521,2022-01-26
Wairarapa,15,141,2022-01-26
Nelson Marlborough,101,477,2022-01-26
West Coast,5,56,2022-01-26
Canterbury,342,2442,2022-01-26
South Canterbury,42,211,2022-01-26
Southern,195,1171,2022-01-26
Overseas / Unknown,5,91,2022-01-26
Total,8381,49398,2022-01-26
