DHB,Dose1,Population,Date
Northland,156,582,2022-02-14
Waitemata,2432,6497,2022-02-14
Auckland,2669,7257,2022-02-14
Counties Manukau,7396,20488,2022-02-14
Waikato,715,1950,2022-02-14
Lakes,134,405,2022-02-14
Bay of Plenty,205,696,2022-02-14
Tairawhiti,61,128,2022-02-14
Taranaki,67,260,2022-02-14
Hawkes Bay,289,994,2022-02-14
MidCentral,293,932,2022-02-14
Whanganui,53,277,2022-02-14
Capital and Coast,1081,2822,2022-02-14
Hutt Valley,622,1521,2022-02-14
Wairarapa,46,141,2022-02-14
Nelson Marlborough,183,477,2022-02-14
West Coast,20,56,2022-02-14
Canterbury,846,2442,2022-02-14
South Canterbury,110,211,2022-02-14
Southern,476,1171,2022-02-14
Overseas / Unknown,9,91,2022-02-14
Total,17863,49398,2022-02-14
