DHB,Dose1,Population,Date
Northland,127,582,2022-02-05
Waitemata,2141,6497,2022-02-05
Auckland,2372,7257,2022-02-05
Counties Manukau,6296,20488,2022-02-05
Waikato,641,1950,2022-02-05
Lakes,124,405,2022-02-05
Bay of Plenty,179,696,2022-02-05
Tairawhiti,52,128,2022-02-05
Taranaki,61,260,2022-02-05
Hawkes Bay,231,994,2022-02-05
MidCentral,245,932,2022-02-05
Whanganui,42,277,2022-02-05
Capital and Coast,994,2822,2022-02-05
Hutt Valley,552,1521,2022-02-05
Wairarapa,35,141,2022-02-05
Nelson Marlborough,170,477,2022-02-05
West Coast,17,56,2022-02-05
Canterbury,729,2442,2022-02-05
South Canterbury,100,211,2022-02-05
Southern,404,1171,2022-02-05
Overseas / Unknown,8,91,2022-02-05
Total,15520,49398,2022-02-05
