DHB,Dose1,Dose2,Population,Date
Northland,175,5,582,2022-02-25
Waitemata,2709,36,6497,2022-02-25
Auckland,2978,75,7257,2022-02-25
Counties Manukau,8462,217,20488,2022-02-25
Waikato,843,5,1950,2022-02-25
Lakes,147,5,405,2022-02-25
Bay of Plenty,247,5,696,2022-02-25
Tairawhiti,70,5,128,2022-02-25
Taranaki,81,5,260,2022-02-25
Hawkes Bay,345,5,994,2022-02-25
MidCentral,355,5,932,2022-02-25
Whanganui,77,5,277,2022-02-25
Capital and Coast,1265,15,2822,2022-02-25
Hutt Valley,722,5,1521,2022-02-25
Wairarapa,68,5,141,2022-02-25
Nelson Marlborough,231,5,477,2022-02-25
West Coast,22,5,56,2022-02-25
Canterbury,1040,5,2442,2022-02-25
South Canterbury,129,5,211,2022-02-25
Southern,543,5,1171,2022-02-25
Overseas / Unknown,11,5,91,2022-02-25
Total,20520,371,49398,2022-02-25
