DHB,Dose1,Dose2,Population,Date
Northland,202,5,582,2022-03-08
Waitemata,2892,77,6497,2022-03-08
Auckland,3189,143,7257,2022-03-08
Counties Manukau,9180,368,20488,2022-03-08
Waikato,897,21,1950,2022-03-08
Lakes,171,5,405,2022-03-08
Bay of Plenty,278,8,696,2022-03-08
Tairawhiti,78,5,128,2022-03-08
Taranaki,98,5,260,2022-03-08
Hawkes Bay,403,7,994,2022-03-08
MidCentral,394,5,932,2022-03-08
Whanganui,95,5,277,2022-03-08
Capital and Coast,1372,26,2822,2022-03-08
Hutt Valley,811,8,1521,2022-03-08
Wairarapa,78,5,141,2022-03-08
Nelson Marlborough,242,5,477,2022-03-08
West Coast,25,5,56,2022-03-08
Canterbury,1198,12,2442,2022-03-08
South Canterbury,144,5,211,2022-03-08
Southern,596,5,1171,2022-03-08
Overseas / Unknown,12,5,91,2022-03-08
Total,22355,689,49398,2022-03-08
