DHB,Dose1,Dose2,Population,Date
Northland,193,5,582,2022-03-04
Waitemata,2842,55,6497,2022-03-04
Auckland,3131,110,7257,2022-03-04
Counties Manukau,8938,293,20488,2022-03-04
Waikato,884,16,1950,2022-03-04
Lakes,168,5,405,2022-03-04
Bay of Plenty,272,5,696,2022-03-04
Tairawhiti,76,5,128,2022-03-04
Taranaki,93,5,260,2022-03-04
Hawkes Bay,381,5,994,2022-03-04
MidCentral,386,5,932,2022-03-04
Whanganui,93,5,277,2022-03-04
Capital and Coast,1349,21,2822,2022-03-04
Hutt Valley,788,5,1521,2022-03-04
Wairarapa,76,5,141,2022-03-04
Nelson Marlborough,241,5,477,2022-03-04
West Coast,25,5,56,2022-03-04
Canterbury,1160,9,2442,2022-03-04
South Canterbury,133,5,211,2022-03-04
Southern,584,5,1171,2022-03-04
Overseas / Unknown,12,5,91,2022-03-04
Total,21825,531,49398,2022-03-04
