DHB,Dose1,Dose2,Population,Date
Northland,201,6,582,2022-03-16
Waitemata,2953,182,6497,2022-03-16
Auckland,3265,244,7257,2022-03-16
Counties Manukau,9412,562,20488,2022-03-16
Waikato,923,57,1950,2022-03-16
Lakes,181,11,405,2022-03-16
Bay of Plenty,283,19,696,2022-03-16
Tairawhiti,82,5,128,2022-03-16
Taranaki,103,7,260,2022-03-16
Hawkes Bay,421,10,994,2022-03-16
MidCentral,411,23,932,2022-03-16
Whanganui,99,5,277,2022-03-16
Capital and Coast,1399,68,2822,2022-03-16
Hutt Valley,826,34,1521,2022-03-16
Wairarapa,80,5,141,2022-03-16
Nelson Marlborough,256,9,477,2022-03-16
West Coast,25,5,56,2022-03-16
Canterbury,1224,28,2442,2022-03-16
South Canterbury,147,5,211,2022-03-16
Southern,613,15,1171,2022-03-16
Overseas / Unknown,13,5,91,2022-03-16
Total,22917,1286,49398,2022-03-16
