DHB,Dose1,Population,Date
Northland,158,582,2022-02-16
Waitemata,2462,6497,2022-02-16
Auckland,2724,7257,2022-02-16
Counties Manukau,7559,20488,2022-02-16
Waikato,734,1950,2022-02-16
Lakes,137,405,2022-02-16
Bay of Plenty,215,696,2022-02-16
Tairawhiti,62,128,2022-02-16
Taranaki,70,260,2022-02-16
Hawkes Bay,300,994,2022-02-16
MidCentral,301,932,2022-02-16
Whanganui,59,277,2022-02-16
Capital and Coast,1103,2822,2022-02-16
Hutt Valley,634,1521,2022-02-16
Wairarapa,49,141,2022-02-16
Nelson Marlborough,190,477,2022-02-16
West Coast,20,56,2022-02-16
Canterbury,866,2442,2022-02-16
South Canterbury,111,211,2022-02-16
Southern,491,1171,2022-02-16
Overseas / Unknown,9,91,2022-02-16
Total,18254,49398,2022-02-16
